newsId,title,summary,link
6087691,美7月密大消費信心升至5個月高點 通膨預期降溫,綜合外媒周五 (8/1) 報導，美國密西根大學 7 月消費者信心指數終值升至 61.7，創 5 個月新高，主要受股市上漲提振現況評估，但對未來景氣與通膨風險的疑慮仍壓抑整體信心。當月現況指數升至 68，為 6 個月高點，但預期指數下滑至 57,https://m.cnyes.com/news/id/6087691
6087608,就業數據疲軟聯準會降息預期急升 美債殖利率創一年最大跌幅,根據《彭博》周五 (1 日) 報導，美國 7 月就業數據疲軟讓債市大漲，短期公債殖利率創一年最大跌幅，交易員大舉押注聯準會最快 9 月降息。,https://m.cnyes.com/news/id/6087608
6087717,Fed傳聲筒：就業降溫+通膨未解！去年先觀望後大降息劇本將重現？,有「聯準會傳聲筒」之稱的《華爾街日報》(WSJ)記者 Nick Timiraos 周五 (8/1) 撰文指出，美國 7 月非農就業報告顯示勞動市場意外降溫，強化市場對聯準會 (Fed) 在 9 月降息的預期，但通膨壓力和政策不確定性，讓決策,https://m.cnyes.com/news/id/6087717
6087609,瑞士國慶日遭無預警重擊 川普課徵39%關稅創全球最高,根據《CNBC》周五 (1 日) 報導，瑞士在國慶日遭到川普政府課徵 39% 關稅重擊，成為全球稅率最高的國家之一。美國占瑞士出口約六分之一，這項決定讓原本期待能與歐盟、英國、日本等國獲得 10%-15% 基準稅率的瑞士大感震驚。,https://m.cnyes.com/news/id/6087609
6087690,連5個月萎縮！美7月ISM製造業指數僅48 寫9個月最慘紀錄,綜合外媒周五 (8/1) 報導，美國 7 月製造業活動持續萎縮，供應管理協會 (ISM) 製造業指數降至 48，創 9 個月來最大萎縮，低於市場預期的 49.5 並連續 5 個月低於 50 榮枯線。此外，隨著新關稅影響擴散，製造業就業指數跌至 43.4,https://m.cnyes.com/news/id/6087690
6087576,以太幣月漲54% 漲幅憑什麼打敗比特幣？,根據《商業內幕》周五 (1 日) 報導，比特幣今年雖然創下歷史新高，但最近的漲勢已被以太幣拋在腦後。以太幣過去一個月價格上漲 54%，相較之下比特幣僅上漲 10%。,https://m.cnyes.com/news/id/6087576
6087612,非農爆冷！川普再催鮑爾降息 Fed面臨政策轉向壓力,美國總統川普周五 (8/1) 在 7 月非農就業報告公布後再度發文施壓聯準會 (Fed) 主席鮑爾，要求立即降息。川普在社群平台上寫道：「太少、太晚。『慢郎中』鮑爾是一場災難。降息吧！好消息是，關稅正為美國帶來數十億美元收入！」,https://m.cnyes.com/news/id/6087612
6087668,鉅亨速報 - Factset 最新調查：亞馬遜AMZN-US的目標價調升至260元，幅度約3.38%,FactSet 最新調查：亞馬遜AMZN-US目標價調升，最高估值、最低估值、中位數、綜合評級、近5日股價、標普、即時新聞資訊,https://m.cnyes.com/news/id/6087668
6087418,〈美股早盤〉川普新關稅+非農爆冷 主要指數開低走低,美股主要指數周五 (8/1) 開低走弱，道瓊早盤重挫逾 500 點，投資人同時消化美國總統川普推出的新一輪關稅、亞馬遜疲弱財報，以及 7 月非農就業數據不如預期，這些因素加劇市場對經濟放緩的擔憂並推升聯準會 (Fed) 降息預期，美債殖,https://m.cnyes.com/news/id/6087418
6087600,林淑真：關稅、匯率雙重夾擊中小企業 台新銀放款強力支援,美國對台課徵 20% 對等關稅引起外界憂心，台新銀行總經理林淑真今 (1) 日表示，加徵關稅對中小企業的衝擊最為顯著，尤其是傳統產業，既未搭上 AI 熱潮，又要面對匯率劇烈波動，,https://m.cnyes.com/news/id/6087600
6087563,金融時報：台灣遭課20%關稅高於日韓 美中博弈下成夾心餅乾,根據《金融時報》周五 (1 日) 報導，台灣未能趕在川普 8 月 1 日截止期限前達成貿易協議，讓外界更加擔心美國可能為了改善美中關係而淡化對台灣的安全支持。,https://m.cnyes.com/news/id/6087563
6087586,德淵越南購地擴產 直接銷美比重低關稅風險相對有限,德淵越南購地擴產 直接銷美比重低關稅風險相對有限,https://m.cnyes.com/news/id/6087586
6087426,美日達成貿易協議後 日銀10月升息呼聲高,根據《彭博》周五 (8/1) 報導，在美國總統川普宣布包括與日本在內的多項貿易協議後，市場對日銀 (日本央行 / BOJ) 升息時點的預期提前。《彭博》調查顯示，42% 的經濟學家預期日銀將於 10 月升息，高於先前調查的 32%；預估 12,https://m.cnyes.com/news/id/6087426
6087559,聯準會31年來首度兩理事齊聲反對 憂降息腳步落後衝擊就業,美國聯準會本周維持利率不變決定遭兩名理事反對，華勒和鮑曼表示支持降息 1 碼，強調勞動市場疲軟跡象日益明顯，批評目前「觀望」政策過於謹慎，可能使政策落後於經濟情勢，對勞動市場造成不必要損害。,https://m.cnyes.com/news/id/6087559
6087419,遠遜預期！美7月非農就業僅新增7.3萬人 Fed 9月降息機率衝破7成,美國勞工統計局 (BLS) 周五 (8/1) 公布的 7 月非農就業報告遠遜預期，而且前兩個月數據遭大幅下修，讓三個月平均新增就業人數創下新冠疫情以來新低。不只如此，該月失業率小幅攀升也超乎預期。這份報告清楚顯示美國就業市場顯著降溫,https://m.cnyes.com/news/id/6087419
6087555,日本投資審查再延長 國巨公開收購芝浦電子期間同步延至8/18,日本投資審查再延長 國巨公開收購芝浦電子期間同步延至 8/18,https://m.cnyes.com/news/id/6087555
6087482,因應20%關稅衝擊！政院：一周內加碼編列「強化韌性特別預算」,行政院長卓榮泰於今（1）日召集相關部會首長與行政院臺美經貿工作小組，針對美方最新對我國公布 20% 的「暫時性稅率」，討論「因應美國關稅我國出口供應鏈支持方案」執行情形及特別預算的籌編，他特別針對原有 930 億支持方案，是否足,https://m.cnyes.com/news/id/6087482
6087425,川普再轟鮑爾 要求Fed理事會「接管控制權」,綜合外媒報導，美國總統川普周五 (8/1) 再度公開施壓聯準會 (Fed) 要求降息，並表示若主席鮑爾拒絕降息，Fed 理事會應「接管控制權」。,https://m.cnyes.com/news/id/6087425
